name,category,area,postcode,address,lat,lng,phone,website,description,opening_hours,rating,review_count,images,featured
"Waterlooville Plumbing Services",plumbers,waterlooville,"PO7 7AA","123 London Road, Waterlooville",50.8817,-1.0324,"023 9225 1234","https://waterloovilleplumbing.co.uk","Professional plumbing services for homes and businesses in Waterlooville. Emergency repairs, installations, and maintenance.","8:00 AM - 6:00 PM",4.8,127,"",true
"The Coffee House",cafes,waterlooville,"PO7 7BB","45 High Street, Waterlooville",50.8820,-1.0310,"023 9225 5678","https://coffeehousewaterlooville.co.uk","Independent coffee shop serving freshly roasted beans, homemade cakes, and light meals. Perfect for meetings or relaxation.","7:00 AM - 5:00 PM",4.6,89,"",true
"Cowplain Veterinary Clinic",vets,cowplain,"PO8 8AA","12 Portsmouth Road, Cowplain",50.8890,-1.0180,"023 9225 9999","https://cowplainvets.co.uk","Full-service veterinary clinic providing comprehensive care for pets. Routine checkups, surgeries, and emergency care available.","8:30 AM - 6:30 PM",4.9,156,"",true
"Denmead Garden Centre",garden-centers,denmead,"PO7 6AA","78 Southwick Road, Denmead",50.8750,-1.0450,"023 9225 7777","","Family-run garden center offering plants, tools, and expert gardening advice. Seasonal displays and special events.","9:00 AM - 5:00 PM",4.4,67,"",false
"Purbrook Hair Studio",hair-salons,purbrook,"PO7 5AA","23 London Road, Purbrook",50.8650,-1.0580,"023 9225 4444","","Modern hair salon offering cuts, colors, styling, and treatments. Experienced stylists and latest techniques.","9:00 AM - 7:00 PM",4.7,43,"",false
"Studio H",hair-salons,horndean,"PO8 0BZ","2b London Rd, Horndean",50.9200,-1.0100,"07523 131982","https://www.hair-studioh.co.uk","Premium barber shop with perfect 5.0 rating from over 500 reviews. Exceptional attention to detail and modern trendy styles.","Appointment-based (Closed Thursdays)",5.0,534,"https://images.unsplash.com/photo-1585747860715-2ba37e788b7d?w=800&h=600&fit=crop&q=80",true
"JC Barbering",hair-salons,waterlooville,"PO8 9QQ","4 Frogmore Ln, Waterlooville",50.8817,-1.0324,"07487 602476","https://jcbarbering.co.uk","Skin fade specialists with near-perfect 4.9 rating. Professional beard styling and precision cuts.","Tue-Sat (Closed Mon & Sun)",4.9,42,"https://images.unsplash.com/photo-1503951914875-452162b0f3f1?w=800&h=600&fit=crop&q=80",true
"The Cowplain Barber Shop",hair-salons,cowplain,"PO8 8EW","64 London Rd, Cowplain",50.8890,-1.0180,"023 9400 0385","https://thecowplainbarbershop.setmore.com","Established since the 1980s with loyal following. Consistent quality and excellent value at £16 per cut.","Mon-Sat",4.7,121,"https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?w=800&h=600&fit=crop&q=80",true
"L.A. Barbers",hair-salons,widley,"PO7 5AG","74 London Rd, Widley",50.8750,-1.0450,"023 9225 5555","","Children's haircut specialists with SEN/autism expertise. Patient and understanding approach for families.","Mon-Sat (Closed Wed & Sun)",4.6,93,"https://images.unsplash.com/photo-1562322140-8baaccef4b5b?w=800&h=600&fit=crop&q=80",true
"Jay's Barbers",hair-salons,cowplain,"PO8 8AA","12 Portsmouth Road, Cowplain",50.8890,-1.0180,"023 9225 6666","","Dual service barber shop offering haircuts and body piercing. Walk-in friendly with good local reputation.","Mon-Sat",4.3,80,"https://images.unsplash.com/photo-1585747860715-2ba37e788b7d?w=800&h=600&fit=crop&q=80",false

